Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230_B-A1_1_14631
Q9UGL1	Q9UGL1	KDM5B_HUMAN	KDM5B	Lysine-specific demethylase 5B	23525
Q9UGM6	Q9UGM6	SYWM_HUMAN	WARS2	Tryptophan--tRNA ligase, mitochondrial	201373
Q9UGN5;Q9UGN5-2	Q9UGN5;Q9UGN5-2	PARP2_HUMAN	PARP2	Poly [ADP-ribose] polymerase 2	385914
Q9UGP4	Q9UGP4	LIMD1_HUMAN	LIMD1	LIM domain-containing protein 1	86819
Q9UGP5;Q9UGP5-2	Q9UGP5;Q9UGP5-2	DPOLL_HUMAN	POLL	DNA polymerase lambda	55002
Q9UGP8	Q9UGP8	SEC63_HUMAN	SEC63	Translocation protein SEC63 homolog	3.0284e+06
Q9UGQ3;Q9UGQ3-2	Q9UGQ3;Q9UGQ3-2	GTR6_HUMAN	SLC2A6	Solute carrier family 2, facilitated glucose transporter member 6	30015
Q9UGR2	Q9UGR2	Z3H7B_HUMAN	ZC3H7B	Zinc finger CCCH domain-containing protein 7B	194537
Q9UGU0;Q9UGU0-2	Q9UGU0;Q9UGU0-2	TCF20_HUMAN	TCF20	Transcription factor 20	444115
Q9UGU5	Q9UGU5	HMGX4_HUMAN	HMGXB4	HMG domain-containing protein 4	25896
Q9UGV2;Q9UGV2-2	Q9UGV2;Q9UGV2-2;Q9UGV2-3	NDRG3_HUMAN	NDRG3	Protein NDRG3	983452
Q9UGY1	Q9UGY1	NOL12_HUMAN	NOL12	Nucleolar protein 12	284032
Q9UH03;Q9UH03-2	Q9UH03;Q9UH03-2	SEPT3_HUMAN	SEPTIN3	Neuronal-specific septin-3	74960
Q9UH17;Q9UH17-2;Q9UH17-3	Q9UH17;Q9UH17-2;Q9UH17-3	ABC3B_HUMAN	APOBEC3B	DNA dC->dU-editing enzyme APOBEC-3B	22963
Q9UH62	Q9UH62	ARMX3_HUMAN	ARMCX3	Armadillo repeat-containing X-linked protein 3	833173
