Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230_B-A1_1_14631
Q86XI8;Q86XI8-2	Q86XI8;Q86XI8-2	ZSWM9_HUMAN	ZSWIM9	Uncharacterized protein ZSWIM9	191455
Q86XK2;Q86XK2-5;Q86XK2-6	Q86XK2;Q86XK2-6;Q86XK2-3;Q86XK2-4;Q86XK2-5	FBX11_HUMAN	FBXO11	F-box only protein 11	53894
Q86XK3;Q86XK3-2;Q86XK3-3	Q86XK3;Q86XK3-2;Q86XK3-3	SFR1_HUMAN	SFR1	Swi5-dependent recombination DNA repair protein 1 homolog	96264
Q86XL3	Q86XL3;Q86XL3-2	ANKL2_HUMAN	ANKLE2	Ankyrin repeat and LEM domain-containing protein 2	568315
Q86XP1;Q86XP1-2;Q86XP1-3;Q86XP1-5	Q86XP1;Q86XP1-2;Q86XP1-3;Q86XP1-5	DGKH_HUMAN	DGKH	Diacylglycerol kinase eta	265780
Q86XP3	Q86XP3;Q86XP3-2	DDX42_HUMAN	DDX42	ATP-dependent RNA helicase DDX42	3.97576e+06
Q86XR7-2;Q9Y3B3;Q9Y3B3-2	Q9Y3B3;Q9Y3B3-2;Q86XR7-2	TCAM2_HUMAN;TMED7_HUMAN	TICAM2;TMED7	Isoform 2 of TIR domain-containing adapter molecule 2	1.09978e+06
Q86XR8;Q86XR8-2;Q86XR8-3;Q86XR8-4;Q86XR8-5	Q86XR8;Q86XR8-2;Q86XR8-3;Q86XR8-4;Q86XR8-5	CEP57_HUMAN	CEP57	Centrosomal protein of 57 kDa	3654
Q86XT9	Q86XT9	TM219_HUMAN	TMEM219	Insulin-like growth factor-binding protein 3 receptor	11761
Q86XZ4	Q86XZ4	SPAS2_HUMAN	SPATS2	Spermatogenesis-associated serine-rich protein 2	325225
Q86Y07	Q86Y07;Q86Y07-3;Q86Y07-4	VRK2_HUMAN	VRK2	Serine/threonine-protein kinase VRK2	152833
Q86Y37	Q86Y37;Q86Y37-2;Q86Y37-4	CACL1_HUMAN	CACUL1	CDK2-associated and cullin domain-containing protein 1	439729
Q86Y39	Q86Y39;Q86Y39-2	NDUAB_HUMAN	NDUFA11	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11	300150
Q86Y56	Q86Y56;Q86Y56-2	DAAF5_HUMAN	DNAAF5	Dynein assembly factor 5, axonemal	1.13023e+06
Q86Y79	Q86Y79	PTH_HUMAN	PTRH1	Probable peptidyl-tRNA hydrolase	217091
Q86Y82	Q86Y82	STX12_HUMAN	STX12	Syntaxin-12	425698
Q86Y91;Q86Y91-6	Q86Y91;Q86Y91-6	KI18B_HUMAN	KIF18B	Kinesin-like protein KIF18B	50853
Q86YA3	Q86YA3;Q86YA3-4	ZGRF1_HUMAN	ZGRF1	Protein ZGRF1	231683
Q86YB8	Q86YB8	ERO1B_HUMAN	ERO1B	ERO1-like protein beta	496521
Q86YB8;Q96HE7	Q96HE7;Q86YB8	ERO1A_HUMAN;ERO1B_HUMAN	ERO1A;ERO1B	ERO1-like protein beta	434454
Q86YC2	Q86YC2	PALB2_HUMAN	PALB2	Partner and localizer of BRCA2	6147
Q86YH6	Q86YH6	DLP1_HUMAN	PDSS2	Decaprenyl-diphosphate synthase subunit 2	69141
Q86YM7;Q86YM7-2	Q86YM7;Q86YM7-2	HOME1_HUMAN	HOMER1	Homer protein homolog 1	121287
Q86YN1;Q86YN1-2	Q86YN1;Q86YN1-2	DOPP1_HUMAN	DOLPP1	Dolichyldiphosphatase 1	16482
Q86YP4;Q86YP4-3	Q86YP4;Q86YP4-2;Q86YP4-3	P66A_HUMAN	GATAD2A	Transcriptional repressor p66-alpha	828254
Q86YP4;Q86YP4-3;Q8WXI9	Q86YP4;Q86YP4-2;Q86YP4-3;Q8WXI9	P66A_HUMAN;P66B_HUMAN	GATAD2A;GATAD2B	Transcriptional repressor p66-alpha	284560
Q86YQ8	Q86YQ8	CPNE8_HUMAN	CPNE8	Copine-8	550101
Q86YR5;Q86YR5-4	Q86YR5;Q86YR5-3;Q86YR5-4	GPSM1_HUMAN	GPSM1	G-protein-signaling modulator 1	121529
Q86YS7;Q86YS7-2;Q86YS7-3;Q86YS7-4;Q86YS7-5	Q86YS7;Q86YS7-2;Q86YS7-3;Q86YS7-4;Q86YS7-5	C2CD5_HUMAN	C2CD5	C2 domain-containing protein 5	518740
Q86YT6	Q86YT6	MIB1_HUMAN	MIB1	E3 ubiquitin-protein ligase MIB1	245028
Q86YV5	Q86YV5	PRAG1_HUMAN	PRAG1	Inactive tyrosine-protein kinase PRAG1	72420
Q86YV9	Q86YV9	HPS6_HUMAN	HPS6	Hermansky-Pudlak syndrome 6 protein	234949
Q86YW9;Q86YW9-4	Q86YW9;Q86YW9-4	MD12L_HUMAN	MED12L	Mediator of RNA polymerase II transcription subunit 12-like protein	85421
Q86YW9;Q86YW9-4;Q93074;Q93074-2;Q93074-3	Q86YW9;Q86YW9-4;Q93074;Q93074-2;Q93074-3	MD12L_HUMAN;MED12_HUMAN	MED12;MED12L	Mediator of RNA polymerase II transcription subunit 12-like protein	2820
Q8IU81	Q8IU81	I2BP1_HUMAN	IRF2BP1	Interferon regulatory factor 2-binding protein 1	418489
Q8IU85;Q8IU85-2	Q8IU85;Q8IU85-2	KCC1D_HUMAN	CAMK1D	Calcium/calmodulin-dependent protein kinase type 1D	100629
Q8IUC4	Q8IUC4;Q8IUC4-2	RHPN2_HUMAN	RHPN2	Rhophilin-2	289109
Q8IUC8	Q8IUC8;Q8IUC8-3	GLT13_HUMAN	GALNT13	Polypeptide N-acetylgalactosaminyltransferase 13	156889
Q8IUD2	Q8IUD2;Q8IUD2-2;Q8IUD2-3;Q8IUD2-4;Q8IUD2-5	RB6I2_HUMAN	ERC1	ELKS/Rab6-interacting/CAST family member 1	1.35302e+06
Q8IUE6	P0C0S8;Q99878;Q16777;Q93077;Q9BTM1;Q9BTM1-2;Q8IUE6;Q96QV6;Q6FI13;Q96KK5	H2A2B_HUMAN	HIST2H2AB	Histone H2A type 2-B	3.11742e+06
Q8IUF1;Q9BRT8;Q9BRT8-3	Q8IUF1;Q9BRT8;Q9BRT8-2;Q9BRT8-3;Q9BRT8-4	CBWD1_HUMAN;CBWD2_HUMAN	CBWD1;CBWD2	COBW domain-containing protein 2	93544
Q8IUF8	Q8IUF8;Q8IUF8-3;Q8IUF8-4	RIOX2_HUMAN	RIOX2	Ribosomal oxygenase 2	272153
Q8IUH3;Q8IUH3-3	Q8IUH3;Q8IUH3-2;Q8IUH3-3	RBM45_HUMAN	RBM45	RNA-binding protein 45	79801
Q8IUH4	Q8IUH4;Q8IUH4-2;Q8IUH4-3	ZDH13_HUMAN	ZDHHC13	Palmitoyltransferase ZDHHC13	880787
Q8IUI8	Q8IUI8;Q8IUI8-2	CRLF3_HUMAN	CRLF3	Cytokine receptor-like factor 3	282927
Q8IUQ0;Q8IUQ0-2	Q8IUQ0;Q8IUQ0-2	CLVS1_HUMAN	CLVS1	Clavesin-1	260077
Q8IUR0	Q8IUR0	TPPC5_HUMAN	TRAPPC5	Trafficking protein particle complex subunit 5	35197
Q8IUR7;Q8IUR7-2;Q8IUR7-3;Q8IUR7-7	Q8IUR7;Q8IUR7-2;Q8IUR7-3;Q8IUR7-6;Q8IUR7-7;Q8IUR7-8	ARMC8_HUMAN	ARMC8	Armadillo repeat-containing protein 8	565670
Q8IUW5	Q8IUW5	RELL1_HUMAN	RELL1	RELT-like protein 1	35145
Q8IUX1;Q8IUX1-4	Q8IUX1;Q8IUX1-2;Q8IUX1-3;Q8IUX1-4;Q8IUX1-5	T126B_HUMAN	TMEM126B	Complex I assembly factor TMEM126B, mitochondrial	102417
Q8IV08	Q8IV08	PLD3_HUMAN	PLD3	5'-3' exonuclease PLD3	80358
Q8IV32	Q8IV32	CCD71_HUMAN	CCDC71	Coiled-coil domain-containing protein 71	1.02379e+06
Q8IV33;Q8IV33-2;Q8IV33-3	Q8IV33;Q8IV33-2;Q8IV33-3	K0825_HUMAN	KIAA0825	Uncharacterized protein KIAA0825	10771
Q8IV36;Q8IV36-2;Q8IV36-3	Q8IV36;Q8IV36-2;Q8IV36-3	HID1_HUMAN	HID1	Protein HID1	283193
Q8IV38	Q8IV38	ANKY2_HUMAN	ANKMY2	Ankyrin repeat and MYND domain-containing protein 2	100793
Q8IV48	Q8IV48	ERI1_HUMAN	ERI1	3'-5' exoribonuclease 1	389798
Q8IV50	Q8IV50;Q8IV50-2	LYSM2_HUMAN	LYSMD2	LysM and putative peptidoglycan-binding domain-containing protein 2	225861
Q8IV63;Q8IV63-2;Q8IV63-3	Q8IV63;Q8IV63-2;Q8IV63-3	VRK3_HUMAN	VRK3	Inactive serine/threonine-protein kinase VRK3	53262
Q8IVB5	Q8IVB5	LIX1L_HUMAN	LIX1L	LIX1-like protein	36061
Q8IVD9	Q8IVD9	NUDC3_HUMAN	NUDCD3	NudC domain-containing protein 3	390659
Q8IVF2;Q8IVF2-3	Q8IVF2;Q8IVF2-2;Q8IVF2-3	AHNK2_HUMAN	AHNAK2	Protein AHNAK2	1.96716e+06
Q8IVG5	Q8IVG5	SAM9L_HUMAN	SAMD9L	Sterile alpha motif domain-containing protein 9-like	24268
Q8IVH4	Q8IVH4	MMAA_HUMAN	MMAA	Methylmalonic aciduria type A protein, mitochondrial	47751
Q8IVH8;Q8IVH8-2;Q8IVH8-3	Q8IVH8;Q8IVH8-2;Q8IVH8-3	M4K3_HUMAN	MAP4K3	Mitogen-activated protein kinase kinase kinase kinase 3	247167
Q8IVL1;Q8IVL1-10;Q8IVL1-11;Q8IVL1-12;Q8IVL1-13;Q8IVL1-2;Q8IVL1-3;Q8IVL1-4;Q8IVL1-5;Q8IVL1-8;Q8IVL1-9	Q8IVL1;Q8IVL1-2;Q8IVL1-3;Q8IVL1-4;Q8IVL1-5;Q8IVL1-8;Q8IVL1-9;Q8IVL1-10;Q8IVL1-11;Q8IVL1-12;Q8IVL1-13	NAV2_HUMAN	NAV2	Neuron navigator 2	24975
Q8IVM0	Q8IVM0;Q8IVM0-2	CCD50_HUMAN	CCDC50	Coiled-coil domain-containing protein 50	486867
Q8IVS2	Q8IVS2;Q8IVS2-2	FABD_HUMAN	MCAT	Malonyl-CoA-acyl carrier protein transacylase, mitochondrial	325601
Q8IVT2	Q8IVT2	MISP_HUMAN	MISP	Mitotic interactor and substrate of PLK1	2.90339e+06
Q8IVT5;Q8IVT5-2	Q8IVT5;Q8IVT5-2;Q8IVT5-3;Q8IVT5-4	KSR1_HUMAN	KSR1	Kinase suppressor of Ras 1	16528
Q8IVV7	Q8IVV7	GID4_HUMAN	GID4	Glucose-induced degradation protein 4 homolog	15482
Q8IVW4;Q8IVW4-2	Q8IVW4;Q8IVW4-2	CDKL3_HUMAN	CDKL3	Cyclin-dependent kinase-like 3	23590
Q8IW35;Q8IW35-2	Q8IW35;Q8IW35-2	CEP97_HUMAN	CEP97	Centrosomal protein of 97 kDa	899017
Q8IW45	Q8IW45;Q8IW45-3;Q8IW45-4	NNRD_HUMAN	NAXD	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	360046
Q8IWA0	Q8IWA0	WDR75_HUMAN	WDR75	WD repeat-containing protein 75	1.05899e+06
Q8IWA4	Q8IWA4;Q8IWA4-2;Q8IWA4-3	MFN1_HUMAN	MFN1	Mitofusin-1	256659
Q8IWA5;Q8IWA5-2;Q8IWA5-3	Q8IWA5;Q8IWA5-2;Q8IWA5-3	CTL2_HUMAN	SLC44A2	Choline transporter-like protein 2	308910
Q8IWB1	Q8IWB1	IPRI_HUMAN	ITPRIP	Inositol 1,4,5-trisphosphate receptor-interacting protein	77618
Q8IWB7	Q8IWB7	WDFY1_HUMAN	WDFY1	WD repeat and FYVE domain-containing protein 1	279636
Q8IWB9;Q8IWB9-2	Q8IWB9;Q8IWB9-2	TEX2_HUMAN	TEX2	Testis-expressed protein 2	63055
Q8IWC1;Q8IWC1-2;Q8IWC1-3;Q8IWC1-4	Q8IWC1;Q8IWC1-2;Q8IWC1-3;Q8IWC1-4	MA7D3_HUMAN	MAP7D3	MAP7 domain-containing protein 3	421215
Q8IWD4	Q8IWD4;Q8IWD4-2;Q8IWD4-3;Q8IWD4-4	CC117_HUMAN	CCDC117	Coiled-coil domain-containing protein 117	128933
Q8IWE2	Q8IWE2;Q8IWE2-2	NXP20_HUMAN	FAM114A1	Protein NOXP20	325173
Q8IWE5	Q8IWE5	PKHM2_HUMAN	PLEKHM2	Pleckstrin homology domain-containing family M member 2	9084
Q8IWF6	Q8IWF6	DEN6A_HUMAN	DENND6A	Protein DENND6A	892101
Q8IWI9;Q8IWI9-3	Q8IWI9;Q8IWI9-3	MGAP_HUMAN	MGA	MAX gene-associated protein	294380
Q8IWJ2	Q8IWJ2	GCC2_HUMAN	GCC2	GRIP and coiled-coil domain-containing protein 2	2.50373e+06
Q8IWK6;Q8IWK6-3	Q8IWK6;Q8IWK6-3	AGRA3_HUMAN	ADGRA3	Adhesion G protein-coupled receptor A3	107257
Q8IWL3	Q8IWL3	HSC20_HUMAN	HSCB	Iron-sulfur cluster co-chaperone protein HscB	232158
Q8IWQ3;Q8IWQ3-2;Q8IWQ3-3;Q8IWQ3-4;Q8IWQ3-5;Q8IWQ3-6	Q8IWQ3;Q8IWQ3-2;Q8IWQ3-3;Q8IWQ3-4;Q8IWQ3-5;Q8IWQ3-6	BRSK2_HUMAN	BRSK2	Serine/threonine-protein kinase BRSK2	313615
Q8IWR0	Q8IWR0	Z3H7A_HUMAN	ZC3H7A	Zinc finger CCCH domain-containing protein 7A	555184
Q8IWS0;Q8IWS0-5	Q8IWS0;Q8IWS0-3;Q8IWS0-5	PHF6_HUMAN	PHF6	PHD finger protein 6	653414
Q8IWT0;Q8IWT0-2	Q8IWT0;Q8IWT0-2	ARCH_HUMAN	ZBTB8OS	Protein archease	49572
Q8IWT3;Q8IWT3-3	Q8IWT3;Q8IWT3-3	CUL9_HUMAN	CUL9	Cullin-9	746434
Q8IWT6	Q8IWT6	LRC8A_HUMAN	LRRC8A	Volume-regulated anion channel subunit LRRC8A	602412
Q8IWU2	Q8IWU2	LMTK2_HUMAN	LMTK2	Serine/threonine-protein kinase LMTK2	150445
Q8IWV7	Q8IWV7;Q8IWV7-2	UBR1_HUMAN	UBR1	E3 ubiquitin-protein ligase UBR1	1.1983e+06
Q8IWV8	Q8IWV8;Q8IWV8-2;Q8IWV8-4	UBR2_HUMAN	UBR2	E3 ubiquitin-protein ligase UBR2	280305
Q8IWW6;Q8IWW6-2;Q8IWW6-3;Q8IWW6-4	Q8IWW6;Q8IWW6-2;Q8IWW6-3;Q8IWW6-4	RHG12_HUMAN	ARHGAP12	Rho GTPase-activating protein 12	247425
Q8IWX8	Q8IWX8	CHERP_HUMAN	CHERP	Calcium homeostasis endoplasmic reticulum protein	927408
Q8IWY8;Q8IWY8-2	Q8IWY8;Q8IWY8-2	ZSC29_HUMAN	ZSCAN29	Zinc finger and SCAN domain-containing protein 29	49677
Q8IWY9;Q8IWY9-1	Q8IWY9;Q8IWY9-1	CDAN1_HUMAN	CDAN1	Codanin-1	23203
Q8IWZ3;Q8IWZ3-4;Q8IWZ3-6	Q8IWZ3;Q8IWZ3-4;Q8IWZ3-6	ANKH1_HUMAN	ANKHD1	Ankyrin repeat and KH domain-containing protein 1	2.1609e+06
Q8IWZ8	Q8IWZ8	SUGP1_HUMAN	SUGP1	SURP and G-patch domain-containing protein 1	489550
Q8IX01;Q8IX01-4	Q8IX01;Q8IX01-3;Q8IX01-4	SUGP2_HUMAN	SUGP2	SURP and G-patch domain-containing protein 2	718792
Q8IX03;Q8IX03-2	Q8IX03;Q8IX03-2	KIBRA_HUMAN	WWC1	Protein KIBRA	271018
Q8IX04;Q8IX04-6	Q8IX04;Q8IX04-2;Q8IX04-3;Q8IX04-4;Q8IX04-6;Q8IX04-7	UEVLD_HUMAN	UEVLD	Ubiquitin-conjugating enzyme E2 variant 3	119494
Q8IX12;Q8IX12-2	Q8IX12;Q8IX12-2	CCAR1_HUMAN	CCAR1	Cell division cycle and apoptosis regulator protein 1	4.3972e+06
Q8IX15;Q8IX15-3	Q8IX15;Q8IX15-3	HOMEZ_HUMAN	HOMEZ	Homeobox and leucine zipper protein Homez	47541
Q8IX18;Q8IX18-3	Q8IX18;Q8IX18-2;Q8IX18-3	DHX40_HUMAN	DHX40	Probable ATP-dependent RNA helicase DHX40	264514
Q8IX90	Q8IX90	SKA3_HUMAN	SKA3	Spindle and kinetochore-associated protein 3	412494
Q8IXB1	Q8IXB1;Q8IXB1-2;Q8IXB1-3	DJC10_HUMAN	DNAJC10	DnaJ homolog subfamily C member 10	430153
Q8IXH7;Q8IXH7-4	Q8IXH7;Q8IXH7-4	NELFD_HUMAN	NELFCD	Negative elongation factor C/D	812248
Q8IXI1	Q8IXI1	MIRO2_HUMAN	RHOT2	Mitochondrial Rho GTPase 2	780152
Q8IXI1;Q8IXI2;Q8IXI2-2;Q8IXI2-3;Q8IXI2-4;Q8IXI2-5;Q8IXI2-7	Q8IXI1;Q8IXI1-2;Q8IXI2;Q8IXI2-2;Q8IXI2-3;Q8IXI2-4;Q8IXI2-5;Q8IXI2-6;Q8IXI2-7	MIRO1_HUMAN;MIRO2_HUMAN	RHOT1;RHOT2	Mitochondrial Rho GTPase 2	108440
Q8IXI2;Q8IXI2-2;Q8IXI2-3;Q8IXI2-4;Q8IXI2-5;Q8IXI2-7	Q8IXI2;Q8IXI2-2;Q8IXI2-3;Q8IXI2-4;Q8IXI2-5;Q8IXI2-7	MIRO1_HUMAN	RHOT1	Mitochondrial Rho GTPase 1	589683
Q8IXJ6;Q8IXJ6-2;Q8IXJ6-3;Q8IXJ6-4;Q8IXJ6-5	Q8IXJ6;Q8IXJ6-2;Q8IXJ6-3;Q8IXJ6-4;Q8IXJ6-5	SIR2_HUMAN	SIRT2	NAD-dependent protein deacetylase sirtuin-2	19426
Q8IXK0;Q8IXK0-2;Q8IXK0-4;Q8IXK0-5	Q8IXK0;Q8IXK0-2;Q8IXK0-3;Q8IXK0-4;Q8IXK0-5	PHC2_HUMAN	PHC2	Polyhomeotic-like protein 2	162503
Q8IXM2;Q8IXM2-3	Q8IXM2;Q8IXM2-3	BAP18_HUMAN	BAP18	Chromatin complexes subunit BAP18	815548
Q8IXM3	Q8IXM3	RM41_HUMAN	MRPL41	39S ribosomal protein L41, mitochondrial	710216
Q8IXM6	Q8IXM6;Q8IXM6-2	NRM_HUMAN	NRM	Nurim	309356
Q8IXQ3	Q8IXQ3	CI040_HUMAN	C9orf40	Uncharacterized protein C9orf40	118851
Q8IXQ4	Q8IXQ4;Q8IXQ4-4	GPAM1_HUMAN	GPALPP1	GPALPP motifs-containing protein 1	127277
Q8IXQ5;Q8IXQ5-2;Q8IXQ5-5	Q8IXQ5;Q8IXQ5-2;Q8IXQ5-5	KLHL7_HUMAN	KLHL7	Kelch-like protein 7	369862
Q8IXQ6;Q8IXQ6-2;Q8IXQ6-3	Q8IXQ6;Q8IXQ6-2;Q8IXQ6-3	PARP9_HUMAN	PARP9	Protein mono-ADP-ribosyltransferase PARP9	80236
Q8IXR9;Q8IXR9-2	Q8IXR9;Q8IXR9-2	CL056_HUMAN	C12orf56	Uncharacterized protein C12orf56	81388
Q8IXS2;Q8IXS2-2	Q8IXS2;Q8IXS2-2	DRC2_HUMAN	CCDC65	Dynein regulatory complex subunit 2	198098
Q8IXT5	Q8IXT5	RB12B_HUMAN	RBM12B	RNA-binding protein 12B	1.88215e+06
Q8IXU6;Q8IXU6-3	Q8IXU6;Q8IXU6-3	S35F2_HUMAN	SLC35F2	Solute carrier family 35 member F2	117335
Q8IXW5;Q8IXW5-2	Q8IXW5;Q8IXW5-2	RPAP2_HUMAN	RPAP2	Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2	1.9433e+06
Q8IXZ2	Q8IXZ2	ZC3H3_HUMAN	ZC3H3	Zinc finger CCCH domain-containing protein 3	208116
Q8IY17;Q8IY17-2;Q8IY17-3;Q8IY17-5	Q8IY17;Q8IY17-2;Q8IY17-3;Q8IY17-5	PLPL6_HUMAN	PNPLA6	Neuropathy target esterase	330912
Q8IY18	Q8IY18	SMC5_HUMAN	SMC5	Structural maintenance of chromosomes protein 5	536008
Q8IY21	Q8IY21	DDX60_HUMAN	DDX60	Probable ATP-dependent RNA helicase DDX60	119973
Q8IY22	Q8IY22;Q8IY22-2;Q8IY22-3	CMIP_HUMAN	CMIP	C-Maf-inducing protein	227023
Q8IY26	Q8IY26	PLPP6_HUMAN	PLPP6	Phospholipid phosphatase 6	44588
Q8IY31;Q8IY31-2;Q8IY31-4	Q8IY31;Q8IY31-2;Q8IY31-3;Q8IY31-4	IFT20_HUMAN	IFT20	Intraflagellar transport protein 20 homolog	68912
Q8IY37	Q8IY37	DHX37_HUMAN	DHX37	Probable ATP-dependent RNA helicase DHX37	809986
Q8IY47	Q8IY47	KBTB2_HUMAN	KBTBD2	Kelch repeat and BTB domain-containing protein 2	29786
Q8IY67;Q8IY67-2	Q8IY67;Q8IY67-2	RAVR1_HUMAN	RAVER1	Ribonucleoprotein PTB-binding 1	2.25141e+06
Q8IY81	Q8IY81	SPB1_HUMAN	FTSJ3	pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3	3.79361e+06
Q8IY95;Q8IY95-2	Q8IY95;Q8IY95-2	TM192_HUMAN	TMEM192	Transmembrane protein 192	275234
Q8IYA6	Q8IYA6;Q8IYA6-2;Q8IYA6-3	CKP2L_HUMAN	CKAP2L	Cytoskeleton-associated protein 2-like	232927
Q8IYB3;Q8IYB3-2	Q8IYB3;Q8IYB3-2	SRRM1_HUMAN	SRRM1	Serine/arginine repetitive matrix protein 1	1.3096e+06
Q8IYB5;Q8IYB5-2;Q8IYB5-3	Q8IYB5;Q8IYB5-2;Q8IYB5-3	SMAP1_HUMAN	SMAP1	Stromal membrane-associated protein 1	235115
Q8IYB5;Q8IYB5-2;Q8IYB5-3;Q8WU79	Q8WU79;Q8WU79-2;Q8IYB5;Q8IYB5-2;Q8IYB5-3	SMAP1_HUMAN;SMAP2_HUMAN	SMAP1;SMAP2	Stromal membrane-associated protein 1	52444
Q8IYB7	Q8IYB7;Q8IYB7-2;Q8IYB7-3	DI3L2_HUMAN	DIS3L2	DIS3-like exonuclease 2	403975
Q8IYB8	Q8IYB8	SUV3_HUMAN	SUPV3L1	ATP-dependent RNA helicase SUPV3L1, mitochondrial	2.593e+06
Q8IYD1	Q8IYD1	ERF3B_HUMAN	GSPT2	Eukaryotic peptide chain release factor GTP-binding subunit ERF3B	1.34053e+06
Q8IYD8;Q8IYD8-3	Q8IYD8;Q8IYD8-3	FANCM_HUMAN	FANCM	Fanconi anemia group M protein	339683
Q8IYI6	Q8IYI6	EXOC8_HUMAN	EXOC8	Exocyst complex component 8	719080
Q8IYL3	Q8IYL3	CA174_HUMAN	C1orf174	UPF0688 protein C1orf174	125775
Q8IYM9;Q8IYM9-2	Q8IYM9;Q8IYM9-2	TRI22_HUMAN	TRIM22	E3 ubiquitin-protein ligase TRIM22	75446
Q8IYQ7	Q8IYQ7	THNS1_HUMAN	THNSL1	Threonine synthase-like 1	218267
Q8IYR2	Q8IYR2	SMYD4_HUMAN	SMYD4	SET and MYND domain-containing protein 4	52661
Q8IYS1	Q8IYS1	P20D2_HUMAN	PM20D2	Peptidase M20 domain-containing protein 2	642187
Q8IYS2;Q8IYS2-2	Q8IYS2;Q8IYS2-2	K2013_HUMAN	KIAA2013	Uncharacterized protein KIAA2013	105159
Q8IYT4;Q8IYT4-2	Q8IYT4;Q8IYT4-2	KATL2_HUMAN	KATNAL2	Katanin p60 ATPase-containing subunit A-like 2	1.81287e+06
Q8IYU8	Q8IYU8	MICU2_HUMAN	MICU2	Calcium uptake protein 2, mitochondrial	288273
Q8IYW5	Q8IYW5	RN168_HUMAN	RNF168	E3 ubiquitin-protein ligase RNF168	74411
Q8IZ07	Q8IZ07	AN13A_HUMAN	ANKRD13A	Ankyrin repeat domain-containing protein 13A	33424
Q8IZ21;Q8IZ21-2;Q8IZ21-3	Q8IZ21;Q8IZ21-2;Q8IZ21-3	PHAR4_HUMAN	PHACTR4	Phosphatase and actin regulator 4	318834
Q8IZ52;Q8IZ52-2;Q8IZ52-4	Q8IZ52;Q8IZ52-2;Q8IZ52-4	CHSS2_HUMAN	CHPF	Chondroitin sulfate synthase 2	37098
Q8IZ69	Q8IZ69;Q8IZ69-2	TRM2A_HUMAN	TRMT2A	tRNA (uracil-5-)-methyltransferase homolog A	1.66933e+06
Q8IZ73	Q8IZ73;Q8IZ73-2	RUSD2_HUMAN	RPUSD2	RNA pseudouridylate synthase domain-containing protein 2	687255
Q8IZ81	Q8IZ81	ELMD2_HUMAN	ELMOD2	ELMO domain-containing protein 2	277990
Q8IZ83	Q8IZ83;Q8IZ83-3	A16A1_HUMAN	ALDH16A1	Aldehyde dehydrogenase family 16 member A1	926516
Q8IZA0;Q8IZA0-2	Q8IZA0;Q8IZA0-2	K319L_HUMAN	KIAA0319L	Dyslexia-associated protein KIAA0319-like protein	217523
Q8IZD2;Q8IZD2-2;Q8IZD2-5;Q8IZD2-7	Q8IZD2;Q8IZD2-2;Q8IZD2-5;Q8IZD2-7	KMT2E_HUMAN	KMT2E	Inactive histone-lysine N-methyltransferase 2E	304711
Q8IZD2;Q8IZD2-2;Q8IZD2-5;Q8IZD2-7;Q9C0A6;Q9C0A6-2;Q9C0A6-3	Q8IZD2;Q8IZD2-2;Q8IZD2-3;Q8IZD2-4;Q8IZD2-5;Q8IZD2-6;Q8IZD2-7;Q8IZD2-8;Q9C0A6;Q9C0A6-2;Q9C0A6-3	KMT2E_HUMAN;SETD5_HUMAN	KMT2E;SETD5	Inactive histone-lysine N-methyltransferase 2E	172747
Q8IZD4;Q8IZD4-2	Q8IZD4;Q8IZD4-2	DCP1B_HUMAN	DCP1B	mRNA-decapping enzyme 1B	42213
Q8IZE3;Q8IZE3-2	Q8IZE3;Q8IZE3-2	PACE1_HUMAN	SCYL3	Protein-associating with the carboxyl-terminal domain of ezrin	52448
Q8IZH2;Q8IZH2-2	Q8IZH2;Q8IZH2-2	XRN1_HUMAN	XRN1	5'-3' exoribonuclease 1	1.29562e+06
Q8IZJ1;Q8IZJ1-2	Q8IZJ1;Q8IZJ1-2	UNC5B_HUMAN	UNC5B	Netrin receptor UNC5B	163015
Q8IZK6;Q8IZK6-2	Q8IZK6;Q8IZK6-2	MCLN2_HUMAN	MCOLN2	Mucolipin-2	2.23147e+06
Q8IZL8	Q8IZL8	PELP1_HUMAN	PELP1	Proline-, glutamic acid- and leucine-rich protein 1	2.16007e+06
Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9	Q8IZP0;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9;Q8IZP0-10;Q8IZP0-11;Q8IZP0-12	ABI1_HUMAN	ABI1	Abl interactor 1	515205
