Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230_B-A1_1_14631
Q9BY49	Q9BY49	PECR_HUMAN	PECR	Peroxisomal trans-2-enoyl-CoA reductase	9003
Q9BY77	Q9BY77;Q9BY77-2	PDIP3_HUMAN	POLDIP3	Polymerase delta-interacting protein 3	215044
Q9BY89	Q9BY89	K1671_HUMAN	KIAA1671	Uncharacterized protein KIAA1671	57715
Q9BYB4	Q9BYB4;Q9BYB4-2	GNB1L_HUMAN	GNB1L	Guanine nucleotide-binding protein subunit beta-like protein 1	84648
Q9BYC5;Q9BYC5-2	Q9BYC5;Q9BYC5-2	FUT8_HUMAN	FUT8	Alpha-(1,6)-fucosyltransferase	61324
Q9BYC8	Q9BYC8	RM32_HUMAN	MRPL32	39S ribosomal protein L32, mitochondrial	28751
Q9BYC9	Q9BYC9	RM20_HUMAN	MRPL20	39S ribosomal protein L20, mitochondrial	129092
Q9BYD1	Q9BYD1	RM13_HUMAN	MRPL13	39S ribosomal protein L13, mitochondrial	168979
Q9BYD2	Q9BYD2	RM09_HUMAN	MRPL9	39S ribosomal protein L9, mitochondrial	250493
Q9BYD3	Q9BYD3;Q9BYD3-2	RM04_HUMAN	MRPL4	39S ribosomal protein L4, mitochondrial	162684
Q9BYD6	Q9BYD6	RM01_HUMAN	MRPL1	39S ribosomal protein L1, mitochondrial	427679
Q9BYE7	Q9BYE7	PCGF6_HUMAN	PCGF6	Polycomb group RING finger protein 6	50819
Q9BYG3	Q9BYG3	MK67I_HUMAN	NIFK	MKI67 FHA domain-interacting nucleolar phosphoprotein	275873
Q9BYG5	Q9BYG5	PAR6B_HUMAN	PARD6B	Partitioning defective 6 homolog beta	83504
Q9BYI3;Q9BYI3-3	Q8IXS8;Q9BYI3;Q9BYI3-3	HYCCI_HUMAN	FAM126A	Hyccin	25642
Q9BYJ9	Q9BYJ9	YTHD1_HUMAN	YTHDF1	YTH domain-containing family protein 1	654842
Q9BYJ9;Q9Y5A9	Q9Y5A9;Q9Y5A9-2;Q9BYJ9;Q9BYJ9-2	YTHD1_HUMAN;YTHD2_HUMAN	YTHDF1;YTHDF2	YTH domain-containing family protein 1	22185
Q9BYK8	Q9BYK8;Q9BYK8-2;Q9BYK8-4	HELZ2_HUMAN	HELZ2	Helicase with zinc finger domain 2	155401
Q9BYM8	Q9BYM8;Q9BYM8-3	HOIL1_HUMAN	RBCK1	RanBP-type and C3HC4-type zinc finger-containing protein 1	32912
Q9BYN0	Q9BYN0	SRXN1_HUMAN	SRXN1	Sulfiredoxin-1	59670
Q9BYN8	Q9BYN8	RT26_HUMAN	MRPS26	28S ribosomal protein S26, mitochondrial	119488
